headword,pos,supplement,entry,meaning,ipa,word_id,example_sentence,translated_sentence,sentence_id
,,,dislike,を嫌う,/dɪsˈlaɪk/,12236,I dislike spiders.,私はクモが嫌いです。,2997694
,,,dispose,"(…に備えて)…‘を'配置する,整える(arrange)《+名+for+名(doing)》  / 《dispose+名+to do》〈人〉‘を'(…する)気にさせる  / (…に)〈人〉‘が'影響されやすいようにする,(…の影響を)〈人〉‘が'受けやすいようにする《+名〈人〉+to+名》",/dɪˈspoʊz/,12298,Please dispose of your trash in the designated bins.,指定されたゴミ箱にごみを捨ててください。,2997710
,,,donation,"寄贈,寄付  / 寄付金,寄贈品",/dəʊˈneɪʃən/,12648,I made a donation to the charity organization.,私はチャリティ団体に寄付をしました。,2997806
,,,doorman,(ホテル・クラブなどの)ドア[開閉]係  / =doorkeeper,/ˈdɔrmən/,12673,The doorman greeted us with a warm smile as we entered the hotel.,私たちがホテルに入ると、ドアマンが暖かい笑顔で迎えてくれました。,2997813
,,,donate,"(…に)…‘を'寄贈する,寄付する《+名+to+名》  / (…に)寄贈(寄付)する《+to+名》",/dəˈneɪt/,12647,I decided to donate all my old clothes to the local charity.,私は古着をすべて地元のチャリティに寄贈することに決めました。,2997804
,,,downtown,"(都市の中心の)商業地区へ(で),町の中心街へ(で)  / 商業地区の(にある),町の中心街の(にある)  / (市の中心街をなす)商業地区,下町",/ˈdaʊntaʊn/,12816,I love exploring downtown areas.,私は都市の中心地を探検するのが好きです。,2997847
,,,durable,"丈夫な, 耐久力のある, もちのいい / 永く続く",/djʊərəbəl/,13179,This backpack is made of durable material.,このバックパックは丈夫な素材で作られています。,1650170
,,,economize,"【動/自】《...を》節約する, 倹約する《on ...》 / 【動/他】を節約する, を倹約する",/ɪˈkɒnəmaɪz/,13404,I always try to economize by shopping for groceries on sale.,いつもセール品を買って節約しようとしています。,2998012
,,,editorial,"〈C〉社説,論説",/ˌɛdɪˈtɔːriəl/,13440,The editorial in today's newspaper was thought-provoking.,今日の新聞の社説は考えさせられるものだった。,4638113
,,,elegant,"(人・服装・デザインなどが)優雅な,上品な;(趣味・習慣などが)風雅な,高雅な  / みごとな,すばらしい;要を得た,的確な",/ˈɛlɪɡənt/,13668,She looked elegant in her evening gown.,彼女はイブニングガウンで優雅に見えた。,2998077
,,,enroll,"〈人〉‘の'氏名を名簿に記入する;〈人〉‘を'入会させる,入学させる,兵籍に入れる  / 〈氏名〉‘を'名簿に記入する  / 入会する,入学する,入隊する",/ɪnˈroʊl/,14076,Please enroll your name in the register.,氏名を名簿に記入してください。,2998171
,,,erase,"《...から》を消す, を削除する 《from ...》 / (記憶などから)を消し去る《from ...》",/ɪˈreɪs/,14286,I need to erase this mistake.,この間違いを消さないといけない。,2998229
,,,ethics,"《単数扱い》倫理学  / 《複数扱い》倫理,道徳[律],規範",/ˈɛθɪks/,14441,Studying ethics helps us understand moral principles and make ethical decisions.,倫理学を学ぶことは、道徳的な原則を理解し、倫理的な決定をするのに役立ちます。,2998269
,,,exclusive,"除外する,排他的な;相いれない;(人が)打ち解けない  / 入会に制限のある,選ばれた人のための  / 《名詞の前にのみ用いて》独占的な,専用の  / 完全な,全くの  / 《話》(商品・ホテルなどが)高級な,一流の",/ɪkˈskluːsɪv/,14687,This offer is exclusive to our VIP members.,このオファーは私たちのVIP会員限定です。,1641777
,,,expiration,"〈U〉《期限・権利などの》 満了,終結 《of ...》 / 《文》息を吐き出すこと,呼気",/ˌɛk.spəˈreɪ.ʃən/,14833,expiration date by 07 DEC 2022,消費期限　2022年12月7日,1017389
,,,expire,"【動/自】期限が切れる,満了する,息を吐く",/ɪkˈspaɪər/,14835,The milk will expire tomorrow.,牛乳は明日賞味期限が切れます。,2998370
,,,familiarize,"《familiarize+命+with+名(doing)》  / (…に)<人>‘を'慣れ親しませる  / <物事>‘を'広める,普及させる",/fəˈmɪliəˌraɪz/,15196,I need to familiarize myself with the new software.,新しいソフトウェアに慣れる必要があります。,2998477
,,,fatigue,"〈U〉(心身の激しい)疲労, 倦怠感 / 〈C〉労働 / 【動/他】を疲労させる",/fəˈtiːɡ/,15327,I feel a lot of fatigue after working long hours.,長時間働いた後、私はとても疲労を感じます。,2998519
,,,fasten,"《...に》 を留める,を固定する《on ...》 / を締める / 《...に》を集中する《to , on ...》 / 《...に》を押しつける《on ...》 / 締める,留まる",/fæsn̩/,15296,Please fasten your seatbelt before takeoff.,離陸前にシートベルトを締めてください。,2998510
,,,firework,花火;花火大会  / (怒りなどの)爆発,/'faɪərwɜːrk/,15855,I watched a beautiful firework display last night.,昨夜、美しい花火の打ち上げを見ました。,2998662
,,,fork,"(食卓用の)フォーク  / くま手,またぐわ  / (川・道路などの)分岐点;別れ道,分流,分枝",/fɔrk/,16634,I need a fork to eat my dinner.,夕食を食べるためにフォークが必要です。,2998844
,,,founder,"【動/自】〈船が〉(浸水により)沈没する / 〈計画・事業などが〉失敗する,つぶれる / 〈馬が〉過労で倒れる",/ˈfaʊndər/,16745,The ship foundered due to flooding.,船は浸水により沈没した。,3777100
,,,generic,属の / 一般的な / 総称的な / 商標登録されていない,/dʒəˈnɛrɪk/,17674,This is a generic example sentence.,これは一般的な例文です。,1628850
,,,garage,(自動車の)車庫  / 自動車修理場,/ɡəˈrɑːʒ/,17487,I parked my car in the garage.,私は車を車庫に駐車しました。,2999045
,,,garbage,"(台所から出る)生ごみ,食べかす,残飯  / くだらないもの,がらくた",/ˈɡɑːrbɪdʒ/,17490,The city is filled with garbage.,街はゴミでいっぱいだ。,1623752
,,,generator,【名/C】発電機 / (ガス・蒸気などの) 発生器 / 《コンピューター》生成プログラム,/dʒɛnəˈreɪtər/,17673,The generator powered the entire building during the blackout.,停電中、発電機が建物全体を動かしました。,2999096
,,,guidance,"指導;案内;指揮  / (児童・生徒の)指導,ガイダンス  / (宇宙船・ミサイルなどの)誘導[装置]",/ˈɡaɪdəns/,18753,The teacher provided guidance to the students.,先生は生徒たちに指導を行いました。,2999377
,,,dependence,"(…に)頼ること,(…への)依存,依頼《+on(upon)+名》  / (…への)信頼,信用《+on+名》",/dɪˈpɛndəns/,11424,I have a strong dependence on coffee to start my day.,私は一日を始めるためにコーヒーに強く頼っています。,2997468
,,,ideally,"理想的に,申し分なく  / 観念的に",/ʌɪˈdiːəli/,20928,"Ideally, I would like to travel the world.",理想的には、世界中を旅したいです。,1662845
,,,highway,"(特に都市間を結ぶ)幹線道路,公道  / 《比喩(ひゆ)的に》楽な道",/ˈhaɪweɪ/,19951,I drove on the highway to get to the city.,私は都市に行くために高速道路を走りました。,2999698
,,,icy,"氷の,氷で覆われた  / 氷のように冷たい  / 冷淡な,よそよそしい",/ˈaɪsi/,20910,The icy road sparkled in the sunlight.,凍結した道路が日光を浴びてまばゆく光った。,49459
,,,identification,"〈U〉同一であることの確認(証明),身元確認,身分証明  / 身分証明書",/ɑɪˌdɛntɪfɪˈkeɪʃən/,20933,Identification is required to enter the building.,建物に入るためには身分証明が必要です。,2999951
,,,immigration,〈U〉移住,/ˌɪmɪˈɡreɪʃən/,21101,Immigration is a hot topic in the current political climate.,移民は現在の政治的な状況で注目されている話題です。,2999999
,,,inconvenience,"【名/U】《...に》不便, 不都合《to ...》 / 【名/C】不便なもの / 【動/他】〈人〉に不便を感じさせる,に迷惑をかける",/ɪnkənˈviːniəns/,21479,I apologize for any inconvenience caused.,ご不便をおかけして申し訳ありません。,3000095
,,,indicator,"指示する人(物),指示器,表示器;指針  / (リトマスなどの)指示薬",/ɪnˈdɪkeɪtər/,21600,The traffic light is an indicator for drivers.,交通信号は運転手の指示器です。,1635307
,,,indirect,"(道などが)真っすぐでない,回り道の  / (話し方が)遠回しの,率直でない  / (結果などが)間接的な,二次的な",/ˌɪn.dəˈrɛkt/,21620,He took an indirect route to avoid traffic.,彼は交通渋滞を避けるために迂回路を取った。,1652563
,,,individually,"個々に,個別的に  / 個人として,個人的に  / 個性的に,独自のやり方で",/ɪnˈdɪvɪdʒuəli/,21652,Each student will be graded individually.,各学生は個々に評価されます。,1641761
,,,inference,"〈U〉推量, 推論, 推測, 推理  / 〈C〉推量の結果,結論",/ˈɪnfərəns/,21782,"Upon observing the clues at the crime scene, the detective made a logical inference about the suspect's identity.",犯行現場の手がかりを観察して、刑事は容疑者の身元を論理的に推理した。,1627367
,,,informal,正式でない / 打ち解けた / 口語体の,/ɪnˈfɔːrml/,21845,"I'm going to a party tonight, so I'll be dressed informally.",今夜はパーティーに行くから、カジュアルな格好で行くよ。,1635919
,,,ingredient,〈C〉成分/ 原料 / 構成要素,/ɪnˈɡriːdiənt/,21885,Salt is an essential ingredient in cooking.,塩は料理に欠かせない成分です。,3000197
,,,inquire,"〈他〉を尋ねる,問う〈自〉尋ねる,問い合わせる",/ɪnˈkwaɪər/,21991,I need to inquire about the availability of the product.,私はその商品の入手可能性について問い合わせる必要があります。,3000228
,,,installation,"【名/U】（装置などの）取り付け；任命,就任【名/C】（取り付けた）装置,設備；軍事施設",/ˌɪnstəˈleɪʃən/,22089,The installation of the new software took longer than expected.,新しいソフトウェアのインストールは予想よりも時間がかかりました。,1641530
,,,inspector,"〈C〉視察官, 調査官, 監査人(役)  / 警部",/ɪnˈspɛktər/,22077,The inspector examined the crime scene for any evidence.,警察官は犯罪現場を証拠物を探すために調査しました。,3000258
,,,inspect,"…‘を'検査する,念入りに調べる  / (公式に)…‘を'視勅する",/ɪnˈspɛkt/,22075,The mechanic will inspect the car before selling it.,車を売る前に、メカニックが検査します。,3000255
,,,instruct,"…‘に'知識(情報,技術など)を与える,教える,知らせる  / 〈人〉‘に'指示する,命令する",/ɪnˈstrʌkt/,22119,I will instruct you on how to use the new software.,新しいソフトウェアの使い方を教えます。,3000273
,,,instructor,"教師,指導者  / 《米》(大学の)専任講師(assistant professorの下位の職)",/ɪnˈstrʌktər/,22123,The instructor taught us how to swim.,教師は私たちに泳ぎ方を教えてくれました。,3000280
,,,integral,【形】不可欠な；完全な；整数の；積分の【名/C】積分,/ˈɪntɪɡrəl/,22165,Calculus is an integral part of mathematics.,微積分は数学の不可欠な部分である。,1635565
,,,interrupt,"中断する,割り込む,遮る",/ɪntəˈrʌpt/,22349,"I'm sorry to interrupt, but can I ask a question?",申し訳ありませんが、お尋ねしてもよろしいですか？,3000329
,,,invoice,"送り状(値段や輸送料をつけて,買い手に送る品物のリスト)  / …‘の'送り状を作る",/ɪnˈvɔɪs/,22487,Please send me the invoice including the price and shipping fee.,値段と輸送料を含んだ送り状を送ってください。,3000373
,,,invention,"〈U〉(…の)発明《+of+名》  / 〈C〉発明品  / 〈U〉〈C〉作り事,でっち上げ  / 〈U〉発明の才[のあること]",/ɪnˈvɛnʃən/,22451,The invention of the telephone revolutionized communication.,電話の発明はコミュニケーションに革命をもたらした。,3000356
,,,lamp,"(電気・ガス・石油などの)ランプ,灯火,明かり  / (照明用以外の)ランプ  / (知的・精神的な)光,光明",/læmp/,23787,I turned on the lamp to brighten up the room.,部屋を明るくするためにランプをつけました。,3000685
,,,leisure,〈U〉余暇 / 暇 / 自由な時間 / （名詞をともなって形容詞的に）暇な / 有閑な,/'liːʒər/,24251,I enjoy leisure activities such as reading and hiking.,私は読書やハイキングなどのレジャー活動を楽しんでいます。,3000804
,,,lobby,"ロビー(公共的建物・ホテルの玄関から部屋へ行くまでの間の広間または廊下)  / 《《米》単数・複数扱い》(院外の)圧力団体,陳情団  / (英国で)  / (下院で議案裁決のとき,賛否に分かれる)投票者控え室  / (議員が院外者との会見に用いる議事堂の)ロビー,控えの間  / (陳情・運動のため議員に)働きかける《+for+名》  / 〈議案〉‘を'議員に運動して通過させようとする",/'lɑbi/,24835,I waited in the lobby for my friend to arrive.,友達が到着するのを待つために、私はロビーで待っていました。,3000959
,,,mandatory,(命令によって)強制的な / 義務的な / 委任の,/mændəˈtɔːri/,25721,Wearing a mask is mandatory in this building.,この建物ではマスクの着用が強制されています。,3001167
,,,merchandise,(集合的に)商品(goods),/ˈmɜːrtʃəndaɪz/,26466,The store offers a wide range of merchandise for sale.,その店舗では、販売用の幅広い商品が提供されています。,3001367
,,,merchant,(比較的大規模に商品を扱う)商人;貿易商  / 小売商人(storekeeper),/'mɜːrtʃənt/,26467,Marco Polo was an Italian merchant and explorer.,マルコポーロはイタリアの商人であり探検家でした。,1642880
,,,mileage,《時にa ~》(一定期時に走った)総マイル数  / 《時にa ~》(一定量の燃料による)自動車走行マイル数  / 《時にa ~》マイル当たりの費用  / 《話》使用[量];利益,/ˈmaɪlɪdʒ/,26797,I have accumulated a high mileage on my car.,私の車は高い走行距離を積み上げています。,3001458
,,,unplug,〈電気器具〉‘の'プラグを抜く  / …の栓(せん)を抜く,/ʌnˈplʌɡ/,45352,Don't forget to unplug the appliances before leaving the house.,家を出る前に電化製品のプラグを抜くのを忘れないでください。,1640270
,,,mentor,"指導者,師 / (良き)助言者,顧問",/mɛnˈtɔr/,26454,My mentor has been guiding me throughout my career.,私の指導者は私のキャリアを通じて私を指導してきました。,3001358
,,,cruise,(レジャーを目的とした)巡洋航海,/krʊz/,10245,I went on a cruise to the Caribbean.,私はカリブ海クルーズに行きました。,1665189
,,,flavor,"(独特の)風味,味  / 味つけするもの,調味料  / 特質,味わい",/'fleɪvər/,16070,The ice cream has a unique flavor.,そのアイスクリームは独特の風味があります。,2998716
,,,quit,"…‘を'やめる,中止する  / 〈職・地位など〉‘を'断念する,此てる,放棄する  / 《英では古》〈人・土地など〉‘から'去る  / やめる,中止する  / 辞職(退職)する  / (敗北を認めなどして)断念する  / 去る;立ちのく  / (…を)免れた,(…から)自由な《+of+名》",/kwɪt/,34461,I decided to quit my job.,私は仕事をやめることを決めました。,3003372
,,,sandwich,"サンドイッチ  / サンドイッチのようにはさまれた物  / (…の間に)…‘を'はさむ,(時間的に)…‘を'差し込む《+名+between+名》",/'sændwɪtʃ/,37096,I love to eat sandwich for lunch.,私は昼食にサンドイッチを食べるのが大好きです。,1623732
,,,unfamiliar,"よく知らない,未知の見慣ない,聞き慣ない  / 《補語にのみ用いて》(物事を)よく知らない,未知の《+with+名》",/ʌnˈfəˈmɪliər/,45138,I am unfamiliar with this place.,私はこの場所をよく知りません。,3006177
,,,overlook,〈他〉を見落とす /  を大目に見る / 〈人が〉…を見おろす / 〈場所が〉…を見渡せる,/ˌoʊvərˈlʊk/,30121,I often overlook small details.,私はよく細かいことを見落とします。,3002354
,,,prediction,"〈U〉予報(予言)すること  / 〈C〉予報(予言)される事;(…という)予報,予言《+that節》",/prɪˈdɪkʃən/,33061,The weather prediction for tomorrow is rain.,明日の天気予報は雨です。,3003052
,,,candidate,"〈C〉《...の》 候補者, 志願者 《for ...》",/kæn.dɪ.deɪt/,6134,He is a strong candidate for the position.,彼はそのポジションの有力候補者です。,2996932
,,,tunnel,"トンネル,地下道,坑道  / 〈山など〉‘に'トンネルを掘る  / 〈トンネルなど〉‘を'掘る  / トンネルを掘る",/ˈtʌnəl/,44510,The train passed through a long tunnel.,電車は長いトンネルを通り抜けました。,3006030
,,,candy,"《米》砂糖菓子,キャンデー(《英》sweets)  / 《英》氷砂糖(sugar candy)",/ˈkændi/,6146,I bought some candy at the store.,私はストアでいくつかのキャンディを買った。,1624061
,,,subscribe,"【動/自】《雑誌などを》定期購読する《to, for ...》 / 《...に》加入する, 申し込む《to ...》 /  《…に》寄付する, 出資する《to, for ...》 / 《…に》同意する,賛成する《to ...》 / 【動/他】《…に》〈金〉を寄付する《to ...》 / 〈書類〉に署名する",/səbˈskraɪb/,41532,I subscribe to several magazines.,私はいくつかの雑誌に購読しています。,3005234
,,,suite,"(ホテルなどで寝室・居間・客間などの)一続きの豪華な部屋  / (家具などの)一そろい,一組  / (いっしょに使われるものの)一続き,一組,一そろい  / (楽曲の一形式である)組曲  / 《集合的に》《まれ》随行員,従者の一行",/sweet/,41686,I booked a suite at the hotel for our anniversary.,私は私たちの記念日のためにホテルのスイートを予約しました。,3005280
,,,clap,"(短く鋭い)ピシャリ(パチン,バタン,ガタン)という音  / 《単数形で》平手打ち",/klæp/,7745,She gave a clap of thunderous applause.,彼女は轟音の拍手を送った。,3009515
,,,patron,"(個人・主義・事業などの)後援者,保護者,パトロール《+of,名》  / (商店・レストランなどの)お得意,顧客《+of+名》",/'peɪtrən/,30906,The artist's work would not have been possible without the support of a generous patron.,寛大な後援者の支援がなければ、この芸術家の作品は実現しなかったでしょう。,3002560
,,,prestigious,"誉れの高い,高名な, 名門の / 尊敬されている / 権威のある",/prɛˈstɪdʒəs/,33248,He graduated from a prestigious university.,彼は名門大学を卒業しました。,1628564
,,,sculpture,"〈U〉彫刻,彫刻術  / 〈C〉彫刻品,《集合的に》彫刻作品",/ˈskʌlp.tʃər/,37640,The sculpture in the park is breathtaking.,公園の彫刻は息をのむほど美しいです。,3004211
,,,vendor,"(小さな品物を)売る人,行商人  / (法律で)(土地・家などを)売りに出す人",/'vɛndɔr/,45975,The vendor sells small items at the market.,その売り手は市場で小さな品物を売っています。,3006382
,,,verify,"〈できごと・事実など〉…を検証する, (真実・正確であるかどうか)…を確認する",/vəˈraɪ/,46041,I'm verifying the information to make sure it's accurate.,私は情報が正確かどうかを確認しています。,1626870
,,,applicant,"〈C〉《...に対する》申請者,志願者,応募者《for ...》",/əˈplɪkənt/,1941,The applicant must submit all necessary documents.,申請者は必要な全ての書類を提出しなければなりません。,2996161
,,,contradict,"(報道・人の言説など) を否定する / (陳述が)…と矛盾する,と相反する",/ˌkɒn.trəˈdɪkt/,9244,I cannot contradict the fact that he is a talented musician.,彼が才能あるミュージシャンであるという事実を否定することはできません。,3009860
,,,pan,"(通例ふたのない片柄の) 鍋, 平鍋",/pæn/,30462,I cooked soup in a pan.,私は鍋でスープを作りました。,3002452
,,,balloon,〈C〉風船 / 気球 / 吹き出し,/'bəˈluːn/,3153,I saw a colorful balloon floating in the sky.,私は空に浮かんでいる色とりどりの風船を見ました。,3008889
,,,postpone,"を延期する, を後回しにする",/poʊstˈpoʊn/,32807,I need to postpone our meeting until next week.,私は私たちの会議を来週まで延期する必要があります。,1628160
,,,drought,"〈U〉〈C〉干ばつ, 日照り続き",/draʊt/,13018,The drought has caused a severe water shortage in the region.,干ばつが地域で深刻な水不足を引き起こしています。,2997904
,,,amenity,"〈C〉《通例複数形》快適にするもの, 便利な設備 / 礼儀正しい行為(言葉)  / 〈U/C〉快適さ,ここちよさ / 楽しさ",/əˈmɛnɪti/,1317,"The hotel offers various amenities such as a swimming pool, gym, and spa.",ホテルには、プール、ジム、スパなどさまざまな設備があります。,3008880
,,,comply,"【動/自】《...に》 従う, 応ずる 《with ...》",/kəmˈplaɪ/,8696,It is important to comply with the rules and regulations.,ルールや規制に従うことが重要です。,3009720
,,,itinerary,"〈C〉旅程,旅行日程  / 旅日記  / 旅行案内",/ˌaɪˈtɪnəˌɹɛɹi/,22702,I need to plan my itinerary for the trip.,旅行のために私の日程を計画する必要があります。,1628796
,,,deduct,"【他】《総計・総額から》…を差し引く,控除する《from ...》",/dɪˈdʌkt/,11071,You can deduct your business expenses from your taxable income.,あなたは事業費を課税所得から差し引くことができます。,1654354
,,,venue,"〈C〉開催地, 会場 / 犯行地, 現場 / 裁判地 / 《米》 立場, 意見",/vɛnjuː/,46009,The venue for the concert is a large stadium.,コンサートの会場は大きなスタジアムです。,1628757
,,,warehouse,"【名/C】倉庫 / 【動/他】(商品など)を倉庫に入れる, を貯蔵する",/'weərhaʊs/,46680,The goods were stored in the warehouse.,貨物は倉庫に保管されました。,1625956
,,,charitable,【形】《...に対して》 慈悲深い 《to ...》 / 慈善の / 寛大な,/ˈtʃærɪtəbəl/,7091,She is known for her charitable acts towards the less fortunate.,彼女は貧しい人々に対する慈善行為で知られています。,3009343
,,,correction,"〈U〉訂正, 修正 / 〈C〉訂正箇所, 訂正の書き入れ / 〈U〉(よくするための)処罰,叱責",/kəˈrɛkʃən/,9548,The teacher made a correction to my homework.,先生は私の宿題に修正を加えました。,1628759
,,,inexperience,"【名/U】経験のないこと,未熟,不慣れ",/ɪnɪkˈspɪəriəns/,21748,Her inexperience showed when she made several mistakes on her first day of work.,彼女の未経験は、初日の仕事でいくつかのミスをしたことで明らかになった。,3000159
,,,landlord,"〈C〉(男性の) 家主 / (旅館・下宿などの)主人,だんな",/lændlɔːrd/,23828,The landlord is responsible for maintaining the property.,家主は物件を維持する責任を負います。,3000695
,,,monument,"〈C〉(人物・事件などの)記念碑, 記念像 / (故人への)墓碑 / 遺物, 遺跡 / 《…の》後世に残る偉業,金字塔 《of ...》",/mɑˈnjumənt/,27465,The Statue of Liberty is a famous monument in New York City.,自由の女神像はニューヨーク市の有名な記念碑です。,3001622
,,,prescribe,"〈他〉(守るべき規則・方針など)を規定する, 勧める / 《...に》 (薬)を処方する《for ...》 / 〈自〉規定する / (病人・病気に対して)処方を書く",/prɪˈskraɪb/,33183,Doctors prescribe medication to treat various illnesses.,医師はさまざまな病気を治療するために薬を処方します。,3003098
,,,terrific,"(大きさ・程度が)ものすごい / 恐ろしい / 《話》とびきり良い,すばらしい",/təˈrɪfɪk/,42902,The fireworks display was terrific!,花火の打ち上げはものすごかった！,3005609
,,,transit,"【名/U】《...の》運送, 運搬 《of ...》 / 【名/U/C】通過, 通行 / (天体の) 通過 / 【動/他】を横切る, を通過する",/'trænzɪt/,44017,I prefer to use public transit instead of driving.,私は運転する代わりに公共交通機関を利用することを好む。,3005908
,,,lane,"〈C〉小道, 路地 / (船・飛行機などの)航路,(車道の)車線 / (ボウリングの)レーン",/leɪn/,23842,I drove down a narrow lane to get to the cottage.,私はコテージに行くために狭い道を車で走りました。,3000700
,,,dull,"鈍い, つまらない, 暗い",/dʌl/,13132,The lecture was so dull that I fell asleep.,講義はとても鈍くて、私は眠ってしまった。,2997930
,,,alert,"〈他〉《...に対して》 ...に警報(警告)を出す, に警戒態勢をとらせる《to ...》",/əˈlɜrt/,1044,The alert soldier spotted the enemy before anyone else.,その油断のない兵士は、他の誰よりも先に敵を見つけた。,2995928
,,,outage,〈C〉(機械の)停止 / 停電,/aʊtɪdʒ/,29919,There was a power outage in the city last night.,昨晩、その都市で停電がありました。,1628913
,,,payroll,〈C〉給与支払い簿　/ 《単数形》給料支払い総額 / 従業員名簿,/ˈpeɪroʊl/,30968,I need to submit my payroll information by Friday.,金曜日までに給与情報を提出する必要があります。,1628844
,,,photocopy,〈他〉(文書など)を写真複写する / 〈自〉コピーする,/fəʊtəˈkɒpi/,31688,I need to photocopy some documents for the meeting.,会議のために文書をいくつかコピーする必要があります。,3002735
,,,expedite,"(物事)の進行を早める,を促進する / (仕事など) を手早くかたづける, をてきぱきと処理する",/ˈɛk.spɪ.daɪt/,14808,We need to expedite the delivery of the package.,私たちは荷物の配送を急ぐ必要があります。,1628204
,,,garment,"〈C〉《かたく》 衣服, 衣類",/ˈɡɑːrmənt/,17510,She is wearing a beautiful garment.,彼女は美しい衣服を着ています。,2999052
,,,fare,"〈C〉(乗り物の)料金, 運賃  / 料金を払って乗る乗客  / 〈U〉食物, 料理 /",/fɛr/,15254,The fare for the train ride is $10.,電車の乗車料金は10ドルです。,2998492
,,,inclusive,"【形】全部を含んだ, 包含的な / 《数詞などの後に用いて》(勘定などに)含めて,入れて",/ɪnˈkluːsɪv/,21431,This organization is committed to creating an inclusive environment for everyone.,この組織は、誰にとっても包括的な環境づくりに取り組んでいる。,3000084
,,,institute,"〈C〉機関,協会,大学",/ˈɪnstɪˌt(j)ut/,22113,He works at a research institute.,彼は研究所で働いています。,3000270
,,,spouse,"〈C〉《かたく》 配偶者,夫,妻",/spaʊs/,40472,My spouse and I went on a vacation to Hawaii.,私の配偶者と私はハワイにバケーションに行った。,1628459
,,,umbrella,"〈C〉傘 / (一般に,傘状の)保護物,影響力 / 包括するもの, 包括的組織",/ʌmˈbrɛlə/,44791,I took my umbrella with me to keep dry.,私は濡れないように傘を持っていきました。,1623906
,,,weekday,"〈C〉(日曜日,時に weekend 以外の) 平日",/'wiːkdeɪ/,46995,I have a lot of work to do on weekdays.,私は平日にたくさんの仕事をしなければなりません。,3006633
,,,hazardous,"危険な, 有害な / 冒険的な",/hæzərdəs/,19425,The chemicals used in this experiment are hazardous.,この実験で使用される化学物質は危険です。,1628953
,,,concierge,【名/C】(ホテルなどの) コンシェルジュ / 接客係 / 守衛 / (フランスでアパートの) 管理人,/kɒnˈsjeəʒ/,8803,The concierge at the hotel was very helpful in recommending local attractions.,ホテルのコンシェルジュは、地元の観光名所をおすすめするのにとても役立ちました。,1637229
,,,hygiene,"〈U〉衛生, 衛生学, 衛生法 / 衛生状態, 清潔に保つこと",/ˈhaɪdʒiːn/,20764,Maintaining good hygiene is important for overall health.,衛生を保つことは全体的な健康にとって重要です。,1656766
,,,accuracy,〈U〉正確さ / 正確なこと / 精度,/ˈækjərəsi/,328,The accuracy of this machine is impressive.,この機械の精度は素晴らしい。,2995699
,,,flaw,"〈C〉傷 / 《...の》欠点,欠陥《in ...》 /",/flɔː/,16078,"Despite his flaw, he is still a great leader.",彼の欠点にもかかわらず、彼はまだ素晴らしいリーダーです。,1650249
,,,grocery,"〈C〉食料品 / 雑貨店 / 《複数形で》食料, 雑貨, 品類 / 〈U〉食料品販売店",/ˈɡroʊsəri/,18617,I need to go to the grocery store to buy some food.,食料品を買うために食料品店に行かなければなりません。,2999345
,,,publish,"...を出版する, を発行する / (作家など) の作品を出版する / を公表する / 出版する, 発行する",/'pʌblɪʃ/,33978,The author plans to publish a new book next month.,著者は来月新しい本を出版する予定です。,1629341
,,,clip,"〈C〉紙ばさみ,クリップ / 留める物 / (機関銃の) 挿弾子（そうだんし）, 弾倉 / 〈C〉(頭髪・羊毛などを)刈り込むこと,切り取ること",/klɪp/,7898,He wore a tie clip to keep his tie in place.,彼はネクタイを留めるためにネクタイ留めを付けていました。,1650702
,,,clip,"をはさむ / をはさんで留める / 《…に》 (クリップで)留まる 《on, to ...》 / (はさんで)…を切る,切り取る / を刈り込む / 切る / 刈り込む",/klɪp/,7899,I need to clip the papers together.,私は紙を一緒にクリップで留める必要があります。,3009549
,,,drill,"〈C〉きり,ドリル / 〈U〉〈C〉反復練習 / (事態に処するための)訓練 /",/drɪl/,12969,I need to buy a new drill for my home improvement project.,私は家の改修プロジェクトのために新しいドリルを買う必要があります。,2997894
,,,fry,"を油で揚げる, を油で炒める / 揚げ物になる, 揚がる / 《話》(日光浴などして)焼く,日焼けする",/fraɪ/,17133,I love to fry chicken for dinner.,夕食にチキンを揚げるのが大好きです。,2998963
,,,audit,"〈C〉会計検査, 監査 / 決算報告",/ˈɔːdɪt/,2638,The company hired an external auditor to conduct a thorough audit of its financial statements.,会社は外部の監査人を雇い、財務諸表の徹底的な監査を行いました。,1634189
,,,tremendous,"(大きさ・量・強度などで) ものすごい, 途方もない / 恐ろしい",/trɪˈmɛndəs/,44153,The storm caused tremendous damage to the city.,その嵐は都市にものすごい被害をもたらしました。,3005945
,,,sleeve,"〈C〉袖, たもと / スリーブ(機械の棒軸などをはめ込む金具)",/sliːv/,39352,She rolled up her sleeves and got to work.,彼女は袖をまくり上げて仕事に取り掛かった。,3004670
,,,bound,"《bindの過去・過去分詞》 / 【形】縛られた / 《be ~ to do》…する義務がある / 《be ~ to do》きっと…する / 〈本が〉製本された / 《米語》《be ~ to do》…する決心をしている / 《複合語を作って》「…に縛られた,閉ざされた」の意",/baʊnd/,4938,She bound the books together with a ribbon.,彼女はリボンで本を束ねた。,3008935
,,,bound,"《…へ》行く途上にある, 《…》行きの《for ...》 / 《複合語を作って》「…行きの」の意を表す",/baʊnd/,4937,The train is bound for Tokyo.,その電車は東京行きです。,3008934
